3-Letter ID,Call Sign,Country
CAS,CHRISTMAN,United States
CAT,AIRCAT,Denmark
CAU,CANARIAS LINK,Spain
CAV,CALM AIR,Canada
CAW,COMMERCIAL,South Africa
CAX,CONSORCIO,Mexico
CAY,CAYMAN,United Kingdom
CAZ,EUROCAT,Switzerland
CBA,CALIBRA,Czech Republic
CBB,CARGO-BEE,Belgium
CBC,SKY SHARE,United States
CBD,CATBIRD,United States
CBG,GREEN CITY,China
CBH,CLUB HOUSE,United States
CBJ,CAPITAL JET,China
CBL,COLOMBE LINE,Burkina Faso
CBM,CAMBRIAN,United Kingdom
CBN,CARBONDALE,United States
CBO,TAXI CABO,Mexico
CBR,STRIKE,South Africa
CBS,AIR COLUMBUS,Ukraine
CBT,CATALINA AIR,United States
CBV,CABOAEREO,Mexico
CBW,SUPERWINGS,China
CBX,COBREX,Romania
CBY,TYPHOON,United Kingdom
CBZ,COOL BREEZE,United States
CCA,AIR CHINA,China
CCB,DOLPHIN,Barbados
CCC,GLOBAL CARGO,Slovakia
CCD,XIANGJIAN,China
CCH,CHILCHOTA,Mexico
CCI,KUNGFU,China
CCJ,CAP JET,United States
CCK,CARLISLE AIR,United States
CCL,ANGKOR WAT,Cambodia
CCM,CORSICA,France
CCO,AVIC CARGO,China
CCP,CHAMPION AIR,United States
CCQ,CAP CITY,United States
CCS,COMAC EXPRESS,China
CCT,CONNECT,Canada
CCW,COPTRADE AIR,Sudan
CCY,CHERRY,United States
CDA,AEROCARDAL,Chile
CDC,LOONG AIR,China
CDE,COMEX,United Kingdom
CDF,SERVICIO AEREO,Mexico
CDG,SHANDONG,China
CDL,CAROLINA,United States
CDO,TCHADIA,Chad
CDQ,CHODANG FLIGHT,South Korea
CDR,CANADAIR,Canada
CDS,SPECDAS,South Africa
CDT,AEROREUS,Spain
CDV,SKOL,Russia
CDX,CEDAREX,Lebanon
CDY,CADDY,United Kingdom
CEA,CORP-X,United States
CEB,CEBU AIR,Philippines
CEE,CENTRA AEREOS,Mexico
CEF,CZECH AIR FORCE,Czech Republic
CEG,CEGA,United Kingdom
CEL,CEIBA LINE,Equatorial Guinea
CEN,SHUMBA,Zimbabwe
CEO,JETSET,Indonesia
CEP,CHIPOLA,United States
CER,COSMER,Mexico
CES,CHINA EASTERN,China
CET,CENTRAFRICAIN,Central African Republic
CEU,ASAS AIR,Brazil
CEV,CENTEV,France
CEW,TRYDONAIR,Central African Republic
CEY,CENTURYFLIGHT,Dominican Republic
CEZ,CESSZANI,South Africa
CFA,FEILONG,China
CFB,FOREBASE,China
CFC,CANFORCE,Canada
CFD,AERONAUT,United Kingdom
CFE,FLYER,United Kingdom
CFF,AEROFAN,Spain
CFG,CONDOR,Germany
CFH,CARE FLIGHT,Australia
CFI,CHINA JET,China
CFL,CALIBRATION,Sweden
CFN,CHURCH FENTON,United Kingdom
CFR,CALFIRE,United States
CFS,EMPIRE AIR,United States
CFT,CASPER FREIGHT,United States
CFU,MINAIR,United Kingdom
CFV,CALAFIA,Mexico
CFX,CEEFA CHARTER,South Africa
CFZ,ZHONGFEI,China
CGA,CONGRESSIONAL,United States
CGB,COMGLOB,Mexico
CGC,CAL-GULF,Sao Tome and Principe
CGE,COLLEGE,New Zealand
CGF,CLEVER,Bulgaria
CGG,CHARGE,United States
CGH,WELKIN,China
CGI,COASTGUARD IRELAND,Ireland
CGL,AVIA COPTER,Mexico
CGN,CHANG AN,China
CGO,WILD ONION,United States
CGP,CAPGROUP,Belgium
CGR,COMPRIP,Italy
CGS,GLOBAL SOUTH,United Arab Emirates
CGU,CHINGUETTI,Mauritania
CGV,CLUBE ALGARVE,Portugal
CGZ,COLORFUL,China
CHA,CHARTER CENTRAL,United States
CHB,WEST CHINA,China
CHC,CHINA HELICOPTER,China
CHD,CHKALOVSK-AVIA,Russia
CHE,CHECK AIR,United States
CHF,CHAO FEI,China
CHG,CHALLENGE,Belgium
CHH,HAINAN,China
CHI,COUGAR,Canada
CHJ,SHINING,China
CHK,CHALKS,United States
CHL,ULTRA,United Kingdom
CHN,CHANNEL,United States
CHO,CHROME AIR,Nigeria
CHQ,CHAUTAUQUA,United States
CHR,CHAIRMAN,United States
CHU,CHURCHAIR,United States
CHV,CHARTAIR,United States
CHX,CHRISTOPH,Germany
CHZ,CARGO ROCK,Malta
CIA,CALIMERA,Slovakia
CIC,CANAIMA,Venezuela
CIE,CZECHIA,Czech Republic
CIG,SIRIUS AERO,Russia
CIJ,NIKOLAUS,Romania
CIL,CIAF LEASING,Egypt
CIN,CINNAMON,Sri Lanka
CIO,CIOCCO,Italy
CIR,AIR ARCTIC,United States
CIS,CAT ISLAND,Bahamas
CIT,ZANE,United States
CIV,CIVAIR,New Zealand
CIX,CONNEXION,Burundi
CJC,COLGAN,United States
CJE,CUSTOM JET,United States
CJI,SEA JET,United States
CJL,JETBUS,Canada
CJM,CHECKMARK,United Kingdom
CJR,CAVERTON AIR,Nigeria
CJS,COMMONWEALTH,United States
CJT,CARGOJET,Canada
CJX,AIR CRANE,China
CJZ,CALIBER JET,United States
CKA,COOK-AIR,United States
CKE,CHECKMATE,United States
CKJ,PLAAF,China
CKK,CARGO KING,China
CKL,SPACE,Benin
CKM,RIVAFLECHA,Spain
CKR,CROWN AIR,United States
CKS,CONNIE,United States
CLA,ATLANTIC,Venezuela
CLB,CALIBRATOR,United Kingdom
CLC,MOTHERSHIP,South Africa
CLD,CLOWES,United Kingdom
CLE,COLEMILL,United States
CLF,CLIFTON,United Kingdom
CLG,CHALLAIR,France
CLH,HANSALINE,Germany
CLI,CLICKJET,Spain
CLJ,CELLOJET,United Kingdom
CLK,CLARKAIR,United States
CLL,AEROCASTILLO,Mexico
CLM,CARGO LINK,Barbados
CLN,CLEOPATRA,Egypt
CLP,CLUB PORTUGAL,Portugal
CLR,CLINTON AIRWAYS,United States
CLU,FIREBIRD,United Kingdom
CLV,AEROTRAINING,Czech Republic
CLW,CENTRALWINGS,Poland
CLX,CARGOLUX,Luxembourg
CLY,CLAY-LACY,United States
CLZ,CLOUDLINE,South Africa
CMA,FRENCH CARGO,France
CMB,CAMBER,United States
CMC,ESTERLINE,Canada
CMD,CALSTAR MED,United States
CME,COMMERCE BANK,United States
CMF,COMPASSION,United States
CMG,SUNSPY,Nigeria
CMH,COMMODORE,United Kingdom
CMI,AIR MIKE,United States
CMM,CAMEX ADRIA,Slovenia
CMN,CIMMARON AIRE,United States
CMO,CAMELOT,South Africa
CMP,COPA,Panama
CMR,CAMEO,United Kingdom
CMS,CAMEX,Georgia
CMT,CASEMENT,United States
CMV,CALIMA,Spain
CMX,EL CAMINANTE,Mexico
CMZ,CEE-EM STAIRS,Mauritania
CNA,CANAVIA,Spain
CNB,CITYHUN,Hungary
CNC,CENCOR,Mexico
CND,DUTCH CORENDON,Netherlands
CNF,CANARY,Spain
CNG,SID-AIR,United States
CNI,SERAER,Cuba
CNK,CHINOOK,Canada
CNL,WYO-AIR,United States
CNM,MENGYUAN,China
CNO,SCANOR,Norway
CNR,CONAERO,United States
CNS,CHRONOS,United States
CNT,CONNECT CARGO,Brazil
CNU,AIR CONSUL,Spain
CNV,CONVOY,United States
CNW,TANG,China
COB,COBRA JET,Egypt
COG,CONGO AIR,DR Congo
COI,COAVIATION,Venezuela
COJ,CORAL JET,Bermuda
COL,COLONY,United States
COM,COMAIR,United States
CON,CONOCO,United States
COO,COVE,United States
COP,COPPER STATE,United States
COS,COASTAL JET,United States
COT,MARA,Venezuela
COV,HELICENTRE,United Kingdom
COW,COWI,Denmark
COX,COX AVIACION,Mexico
COY,COYNE AIR,United Kingdom
COZ,COSMIC AIR,Nepal
CPA,CATHAY,China
CPD,CAPITAL DELTA,Kenya
CPF,CAP-FLIGHT,United States
CPG,CORPORANG,Mexico
CPI,AIRCAI,Italy
CPJ,DRAGON EYE,Cayman Islands
CPK,CEDAR,Russia
CPL,CHAPARRAL,United States
CPN,CASPIAN,Iran
CPO,MOKAN,United States
CPP,COPTERPLUS,Finland
CPR,CARIBE-PERU,Peru
CPT,AIR SPUR,United States
CPV,AIRCORPORATE,Italy
CPX,CAPAIR,United States
CQH,AIR SPRING,China
CQN,CHONG QING,China
CRA,CIMAS,Zimbabwe
CRB,CARIBBEAN COMMUTER,Suriname
CRC,CAMAIRCO,Cameroon
CRD,AIR CORRIDOR,Mozambique
CRE,CREAM CITY,United States
CRF,CROIX ROUGE,France
CRG,GREENAIR,Costa Rica
CRJ,AIR CRUZAL,Angola
CRK,BAUHINIA,China
CRL,CORSAIR,France
CRM,COMMANDERMEX,Mexico
CRN,CARSON,Canada
CRO,CROWN AIRWAYS,United States
CRP,AEROTRANSCORP,Mexico
CRQ,CREE,Canada
CRR,RAILCAR,Canada
CRS,COMERCIAL AEREA,Mexico
CRT,CARIBINTAIR,Haiti
CRU,VIC-STARLIT,Mexico
CRV,ACROPOLIS,United Kingdom
CRW,CENTRAL AMERICAN,Honduras
CRX,CROSSAIR,United Kingdom
CRY,CERNEY,United Kingdom
CSA,CSA-LINES,Czech Republic
CSB,CARGO SOUTH,United States
CSC,SI CHUAN,China
CSD,DELIVERY,United States
CSF,CALEDONIAN,United Kingdom
CSG,SOUTHERN CARGO,China
CSH,SHANGHAI AIR,China
CSI,SANDIA,United States
CSJ,CASTLE,United States
CSK,CASCADE,United States
CSL,CALIFORNIA SHUTTLE,United States
CSM,CSM SERVICIOS,Mexico
CSN,CHINA SOUTHERN,China
CSO,CASAIR,United States
CSP,CASPER AIR,United States
CSQ,CHASQUI,United States
CSR,CAESAR,Germany
CSS,SHUN FENG,China
CST,SHORELINE,United States
CSV,COASTAL TRAVEL,Tanzania
CSW,EIGER,Switzerland
CSX,CHOICE AIR,United States
CSY,SHUANGYANG,China
CSZ,SHENZHEN AIR,China
CTA,CHAR-TRAN,United States
CTB,SUNNYHEART,Spain
CTD,AEROCORPORATIVOS,Mexico
CTE,CORNERSTONE,United States
CTF,CUTTER FLIGHT,United States
CTG,CANADIAN COAST GUARD,Canada
CTH,TONGHANG,China
CTJ,TIANJIN CARGO,China
CTK,COSTOCK,United Kingdom
CTL,CENTRAL COMMUTER,United States
CTM,COTAM,France
CTN,CROATIA,Croatia
CTP,WOODSIDE,United States
CTR,CENTAURO,Mexico
CTS,EXECUTIVE,Mexico
CTT,CATT,United States
CTU,CITYWINGS,Russia
CTV,SUPERGREEN,Indonesia
CTW,THIRD CARGO,Panama
CTX,CENTEN,United States
CTY,CENTURY,United States
CUA,CHINA UNITED,China
CUB,CUBANA,Cuba
CUH,LOULAN,China
CUJ,CLUB JET,United States
CUK,CHUKKA,United Kingdom
CUL,COULSON,United States
CUO,CUAHONTE,Mexico
CUS,CUSTOM,Australia
CUT,COURT AIR,South Africa
CVA,CHATHAM,New Zealand
CVE,KABEX,Cape Verde
CVF,CLOVERLEAF,United States
CVJ,COMEREJECUTIVA,Mexico
CVK,CARGO LINE,Ukraine
CVO,CENTERVOL,Spain
CVR,CHEVRON,United States
CVS,CONVERS,Russia
CVU,CANYON VIEW,United States
CVV,COMERAVIA,Venezuela
CVX,CIACA,Venezuela
CVZ,CARIBE,Venezuela
CWA,CAN WEST,Canada
CWC,CHALLENGE CARGO,United States
CWG,CLEAR WING,United States
CWH,WARPLANE HERITAGE,Canada
CWL,CRANWELL,United Kingdom
CWM,AIR MARSHALLS,Marshall Islands
CWN,CROWN AIRLINES,Libya
CWR,CITY WORLD,China
CWS,CRETAN,Greece
CWX,CROW EXPRESS,United States
CWY,CAUSEWAY,United Kingdom
CWZ,CAPWINGS,United States
CXA,XIAMEN AIR,China
CXB,STARLUX,Netherlands
CXE,CAICOS,United Kingdom
CXF,CARDS FLIGHT,United States
CXI,TOURISTIC,Malta
CXK,CAREER TRACK,United States
CXN,STRONG AIR,China
CXS,CLIPPER CONNECTION,United States
CXT,COASTAL,United States
CYA,CHEYENNE AIR,United States
CYC,CIRCADIAN,United States
CYE,SAKIRA,China
CYF,TUS AIR,Cyprus
CYH,YUHAO,China
CYL,CITYLINER,Italy
CYN,COLOR JET,China
CYO,COYOTE,United States
CYP,CYPRUS,Cyprus
CYT,CRYSTAL AIR,United States
CYZ,CHINA POST,China
DAA,DECUR,United States
DAC,DOMINION AIR,Nigeria
DAD,DEWAN EXPRESS,Pakistan
DAE,YELLOW,Panama
DAF,DANISH AIRFORCE,Denmark
DAH,AIR ALGERIE,Algeria
DAI,DENA,Iran
DAK,DUCK AIRWAYS,Malta
DAL,DELTA,United States
DAN,DANACO,Nigeria
DAP,DAP,Chile
DAR,DANISH ARMY,Denmark
DAS,TYLOS,Bahrain
DAV,DANA AIR,Nigeria
DAY,DAYA,Sri Lanka
DAZ,DEZERT AIR,United States
DBA,DOUBLE-A,United States
DBC,DIAMOND BACK,United States
DBJ,DUCHESS,United Kingdom
DBP,AFRICAN,DR Congo
DBT,STAR SHIP,Portugal
DCA,DELCARIBE,Mexico
DCC,CARICARGO,Barbados
DCD,DUCARD,Angola
DCF,DESERT STAR,United Arab Emirates
DCL,DON CARLOS,Chile
DCM,DOT COM,United States
DCN,DIPLOMATIC CLEARANCE,Germany
DCO,AEROJAZ,Mexico
DCP,NILECAT,Kenya
DCS,TWIN STAR,Germany
DCT,AIRTASK,United Kingdom
DCU,OCEAN STAR,San Marino
DCV,DISCOVERYJET,Nigeria
DCW,MALTA STAR,Malta
DCY,DUCOY,Spain
DDA,DUSTY,United States
DDY,DANDY,Mexico
DEC,DECCAN CARGO,India
DEE,TACAIR,United States
DEF,TIRPA,France
DEK,DEK AERO,Belarus
DEM,DESTILA MIELES,Mexico
DER,DEER JET,China
DES,DESTINIA,Mexico
DEV,RED DEVILS,United Kingdom
DEX,ASIAN AIR,Thailand
DFA,ABLE,United Kingdom
DFC,DARK BLUE,Czech Republic
DFL,MEDIFLIGHT,Sweden
DFS,DWYAIR,United States
DGA,YELLOW RIVER,China
DGJ,DEEGA JET,Germany
DGO,DGO JET,Mexico
DGT,DIGITAL,United States
DGV,SMART AIRLINES,Armenia
DGX,DASNA,Switzerland
DHA,YELLOW TAIL,Austria
DHC,DEHAVILLAND,Canada
DHE,HELIDAP,Chile
DHK,WORLD EXPRESS,United Kingdom
DHL,DAHL,United States
DHR,DARK HORSE,United States
DHV,WORLDSTAR,South Africa
DHX,DILMUN,Bahrain
DIA,BLUE SKY,United States
DIC,AEROMEDICA,Mexico
DIG,DAC AIR,Ghana
DIR,DIREKT WINGS,Romania
DIS,AERODIS,Spain
DJA,ANTINEA,Algeria
DJH,JET FLAG,China
DJR,DESERT JET,United States
DJT,DREAMJET,France
DKA,DOKIA AIR,Romania
DKE,DUKE,United Kingdom
DKH,AIR JUNEYAO,China
DKN,AIR DECCAN,India
DKR,DIMA,Bulgaria
DKT,DAKOTA,United States
DKZ,NOMAD,Kazakhstan
DLA,DOLOMITI,Italy
DLB,AIRLINK BAHAMAS,Bahamas
DLC,SOARCOPTER,China
DLF,RED WISENT,Poland
DLG,DELGOLFO,Mexico
DLH,LUFTHANSA,Germany
DLJ,DING AIR,China
DLK,DEKKANLANKA,Sri Lanka
DLR,DALA AIR,Nigeria
DLX,DREAMLINE,United States
DLY,DAILY,Germany
DMB,AERORENTAL,Panama
DMC,DINAMICAMONT,Mexico
DMD,DIAMONDJET,Namibia
DMI,AERODINAMICO,Mexico
DMJ,DAMOJH,Mexico
DML,DREAMLAND,Latvia
DMN,DIAMOND ACADEMY,Sweden
DMQ,DALO,Somalia
DMR,HELIDOSA,Dominican Republic
DMS,DIAMOND,Estonia
DNA,DAN AIR,Romania
DNC,FLYINGOLIVE,Spain
DND,DINDER,Sudan
DNU,DANU,Lithuania
DNY,DANISH NAVY,Denmark
DOC,HELIDOC,Norway
DOG,CANINE FLIGHT,United States
DOI,INTERIOR,United States
DOJ,JUSTICE,United States
DOK,DOCTOR,Denmark
DOL,DOLLAR SIGN,United States
DOM,DOME AIR,France
DON,DONAIR,United Kingdom
DOR,DORNIER,Germany
DOS,DOSAIR,United States
DOV,DOVAIR,Sudan
DOW,DOWNTOWN,United States
DPA,DAVID AIR,Sri Lanka
DPS,BLUE-GRAY,United States
DQA,SKY SURFER,Maldives
DRB,DIDIER,Chile
DRC,LEO PARC,DR Congo
DRD,AEREO DORADO,Mexico
DRE,MICHIGAN,United States
DRK,ROYAL BHUTAN,Bhutan
DRL,DRILLER,United States
DRM,DARTMOOR,United Kingdom
DRO,ADRO SERVICIOS,Mexico
DRS,DREAMSHORE,United States
DRU,MIRNY,Russia
DRY,DERAYA,Indonesia
DRZ,DERAZONA,Indonesia
DSA,DANBURY AIRWAYS,United States
DSF,DASSAULT FRANCE,France
DSH,SHOHIN,Tajikistan
DSM,LAN AR,Argentina
DSO,DASSAULT,France
DSP,SURAVIATION,Spain
DSQ,DASAB AIR,Nigeria
DSR,DAIRAIR,Uganda
DST,STAR AVIATION,Algeria
DSU,DELTA STATE,United States
DSW,SEA STAR,Germany
DTA,DTA,Angola
DTG,ZENA,Georgia
DTH,TASSILI AIR,Algeria
DTL,AERO DILI,East Timor
DTN,DATA AIR,Sudan
DTO,AERODESIERTO,Chile
DTR,DANISH,Denmark
DUA,DUSHANBE AIR,Tajikistan
DUB,DUBAI,United Arab Emirates
DUC,RICHAT,Mauritania
DUG,ATSAVEN,Venezuela
DUN,DUNAIR,Mauritania
DVI,AERO DAVINCI,Mexico
DVN,ADVENTIA,Spain
DVR,DIVI AIR,Netherlands
DVY,DEVIL RAY,United States
DVZ,AEROTAXI DVZ,Mexico
DWC,SMOOTH,San Marino
DWG,DARK WING,United States
DWI,DOMINICAN,Dominican Republic
DWR,DELAWARE,United States
DWW,PRIVATE JET,Germany
DXE,BLACK SWAN,Malta
DXH,EAST STAR,China
DXT,DEXTER,Russia
DYM,DYNAMIC SKY,Spain
DYN,AERODYNAMICS,United States
DZD,YAZD AIRWAYS,Iran
DZR,DOZER,United States
EAA,IMOLA,San Marino
EAC,EXECAIR,United States
EAD,AERO-ESCOLA,Portugal
EAF,ELECTRA,Bulgaria
EAG,GREENSTONE,United Kingdom
EAI,GEMSTONE,Ireland
EAJ,ENKA JET,Turkey
EAK,EAKAZ,Kazakhstan
EAL,EASTERN,United States
EAM,EMBASSY AIR,Nigeria
EAN,NIGERIA EXPRESS,Nigeria
EAO,MARINO,San Marino
EAP,AERO-PYRENEES,France
EAR,EJECUTIVO-AEREO,Mexico
EAS,AEROSPACE,South Africa
EAT,TRANS EUROPE,Slovakia
EAU,ELITE,Malta
EAW,WALYA,Ethiopia
EAX,AEREAS,Spain
EBE,MINEBEA,Thailand
ECA,DARK KNIGHT,Germany
ECC,ECLAIR,Czech Republic
ECD,ECOTOUR,Mexico
ECF,EUROCOPTER,France
ECI,EASTERN CAROLINA,United States
ECJ,EASTCOAST JET,United States
ECL,AERO CASTELLANA,Spain
ECM,AERO COMERCIALES,Mexico
ECN,EURO CONTINENTAL,Spain
ECO,ECOJET,Bolivia
ECQ,SKYBRIDGE,Nigeria
ECR,ENERGIA,Mexico
ECT,EASTWAY,South Africa
ECW,ECOTRAVEL,Burkina Faso
ECX,AIR ECOMEX,Angola
EDA,CARGO LIFT,Jamaica
EDC,SALTIRE,United Kingdom
EDD,LINEAS DURANGO,Mexico
EDG,JET EDGE,United States
EDL,POLICE EDELWEISS,Germany
EDO,EDACOM,Slovenia
EDR,BIRDVIEW,Suriname
EDV,ENDEAVOR,United States
EDW,EDELWEISS,Switzerland
EDY,SOLWAY,United Kingdom
EEF,ESTONIAN AIRFORCE,Estonia
EEL,SOLACE,United Kingdom
EEM,EJEAERMEX,Mexico
EES,EAGLE STAR,Serbia
EEU,EUROFLY,Italy
EFA,EXPRESS FREIGHT,Australia
EFB,EMERALD JETS,Lebanon
EFC,AL WASEL,United Arab Emirates
EFD,EVER FLIGHT,Germany
EFE,EFREIGHT SUDAN,Sudan
EFF,EMERALD,Ireland
EFG,ELIFRIULIA,Italy
EFS,EFAOS,Angola
EFT,ZIPLINE,United States
EFW,GRIFFIN,United Kingdom
EFX,EASY EXPRESS,Bangladesh
EGA,AIR EAGLE,Pakistan
EGC,EAGLE CREEK,United States
EGE,EAGLE AIR,United States
EGL,PRESTIGE,United Kingdom
EGM,EGAMS,Equatorial Guinea
EGO,GAUTENG,South Africa
EGS,EVERGLADES,United States
EGT,BULGARIAN JET,Bulgaria
EGU,AFRICAN EAGLE,Uganda
EGV,GLEISNER,Chile
EGW,EGOL,Italy
EHC,FLY HELI,Netherlands
EHD,PLATINUM AIR,United States
EHN,EAST HORIZON,Afghanistan
EHR,ROTOR,Iceland
EIA,EVERGREEN,United States
EIC,EXCARGO,Sao Tome and Principe
EIN,SHAMROCK,Ireland
EIS,COOL,Germany
EIX,STELLAR,Ireland
EJA,EXECJET,United States
EJE,VOODOO,China
EJM,JET SPEED,United States
EJO,MIDJET,United Arab Emirates
EJP,EJECORPORATIVOS,Mexico
EJS,EEJAY SERVICE,Czech Republic
EJT,ECLIPSE JET,United States
EJU,ALPINE,Austria
EJV,EJECUTIVA,Mexico
EKA,EQUAFLIGHT,Congo
EKC,BLUE GOOSE,United States
EKJ,EQUAJET,Congo
EKO,ECOAIR,Latvia
EKT,BLUE KNIGHT,Malta
ELB,ELLINAIR HELLAS,Greece
ELE,EUROLINE,Spain
ELF,ELLASJET,Greece
ELG,ELANGENI,Austria
ELH,LARIO,Italy
ELI,ELIO,Czech Republic
ELJ,TOPJET,Slovakia
ELN,ELIN BIRD,Nigeria
ELO,EUROLOT,Poland
ELT,ELLIOTT,United States
ELU,EGYPTIAN LEISURE,Egypt
ELV,ELVETIA,Mexico
ELW,YELLOW WINGS,Kenya
ELX,ELAN,United States
ELY,ELAL,Israel
ELZ,ELITE AIR,United States
EMB,EMBRAER,Brazil
EMC,NIGHTINGALE,United Kingdom
EMD,EAGLEMED,United States
EME,EMAIR,United States
EMI,BLUE SHUTTLE,Nigeria
EMJ,LIGHT HOUSE,United States
EML,EMALUSA,Portugal
EMM,RULER,Malta
EMO,EMOTION,Austria
EMP,EMPIRE,United States
EMR,ZEMMOUR,Mauritania
EMS,SERVIEMPRESARIAL,Mexico
EMT,EMETEBE,Ecuador
EMZ,EMOZ,Mozambique
ENA,ENA,Spain
ENC,ENDECOTS,Ecuador
END,ARRENDADORA,Mexico
ENE,JET-ENER,Mexico
ENF,ENAV CHECK,Italy
ENG,CROSS CLAMP,United States
ENK,SUNBIRD,United States
ENL,OPTIMOS,Mexico
ENS,ENTERGY SHUTTLE,United States
ENT,ENTERAIR,Poland
ENW,AERONOR,Spain
ENY,ENVOY,United States
ENZ,ENZO,United Kingdom
EOA,LOMBARDA,Italy
EOK,AEROHANGUK,South Korea
EOL,EOLE,France
EOP,EOLO PLUS,Mexico
EOS,ELIOSSOLA,Italy
EPA,DONGHAI AIR,China
EPB,DONG JET,China
EPC,EUROPILOT,Belgium
EPE,SWIFT CARGO,Pakistan
EPI,EPIC RED,United States
EPJ,ESPEJO,Spain
EPL,EMPRESARIALES,Mexico
EPR,EMPEROR,Slovenia
EPS,EPPS AIR,United States
EPT,TAMEP,Bolivia
EPU,ELITACAPULCO,Mexico
EQE,EUROJET,Malta
EQL,EQUATORIAL,Sao Tome and Principe
EQR,EQUATORIAL CONGO,Congo
EQT,EQUITY,United Kingdom
EQX,EQUINOX,Ecuador
ERA,ROCAN,Mexico
ERD,AIR EMERALDS,Serbia
ERE,AIR ERIE,United States
ERF,GULLIVER,Russia
ERH,ERA,United States
ERI,ASERGIO,Mexico
ERK,AEROSEC,Chile
ERL,AEROLAB,Mexico
ERM,EOMAAN,Mexico
ERN,ERNEST,Italy
ERO,AEROECOM,Venezuela
ERU,RIDDLE,United States
ERX,EARTH AIR,Nigeria
ERY,ERIE SHORE,United States
ESA,MALAGAIR,Spain
ESC,SOLAMERICA,Venezuela
ESD,EASTINDO,Indonesia
ESE,ENSENADA ESPECIAL,Mexico
ESF,ESTAFETA,Mexico
ESK,ELITE SKY,DR Congo
ESM,EXEC AIRCRAFT,Lebanon
ESQ,EUROP STAR,Austria
ESR,EASTARJET,South Korea
ESS,THAI STAR,Thailand
EST,REVAL,Estonia
ESU,EMTRASUR,Venezuela
ESW,W-BUSINESS,Azerbaijan
ESX,CATFISH,United Kingdom
ESY,DONOSTI,Spain
ETA,TIME MACHINE,United States
ETC,TRANATTICO,Sudan
ETD,ETIHAD,United Arab Emirates
ETE,SAELITE,Mexico
ETH,ETHIOPIAN,Ethiopia
ETI,JETHAWK,Sweden
ETJ,EAST TAJIK,Tajikistan
ETL,ENTEL,United States
ETM,ETRAM,Angola
ETN,CHIMNIR,Israel
ETP,TESTER,United Kingdom
ETR,ESTEL,Venezuela
ETS,ELTSOVKA,Russia
ETZ,AERO ZODIAC,Mexico
EUK,GREEN FLIGHT,United Kingdom
EUL,EUROLINK,Germany
EUP,SAVOY,France
EUS,EURUS,Mexico
EUW,EUROWEST,Sweden
EVA,EVA,China
EVC,EVER CLEAR,United States
EVE,EVELOP,Spain
EVJ,EVERJETS,Portugal
EVK,EVERETT,Kenya
EVL,EVOLEM,France
EVM,SCIENCE,United Kingdom
EVQ,EVERETT AIR,Mozambique
EVR,DIANA,Portugal
EVX,GREEN SPIRIT,France
EWA,EWEST,South Korea
EWG,EUROWINGS,Germany
EWL,BLACK PEARL,Malta
EWR,MAYOTTE AIR,France
EWS,EAST WEST,Syria
EWZ,E-WING,Kazakhstan
EXA,CANADIANEXECAIRE,Canada
EXB,BRAZILIAN ARMY,Brazil
EXC,ECAIR,Venezuela
EXD,PLATINUM EXEC,South Africa
EXE,EXEC,United States
EXF,EXIMFLIGHT,Mexico
EXH,EXEC HELI,Ireland
EXJ,VOLANTE,United Kingdom
EXM,EXAM,United Kingdom
EXN,EXIN,Poland
EXP,ISLAND EXPRESS,United States
EXS,CHANNEX,United Kingdom
EXU,SACIR,Spain
EXV,EXPOAVIA,Sri Lanka
EXY,EXPRESSWAYS,South Africa
EXZ,TWIGA,Kenya
EYE,SOCKEYE,United States
EYH,GLASIMO,Mexico
EYT,JERNAS,United Arab Emirates
EZA,EZNIS,Mongolia
EZE,EASTFLIGHT,United Kingdom
EZI,JETZA,Mexico
EZJ,GUYANA JET,Guyana
EZR,EASYWAY,Netherlands
EZS,TOPSWISS,Switzerland
EZT,THAI EZY,Thailand
EZX,EAGLEXPRESS AIR,Malaysia
EZY,EASY,United Kingdom
EZZ,ENTERPRIZE,Croatia
FAC,COLOMBIAN AIR FORCE,Colombia
FAD,ADEAL,Saudi Arabia
FAE,ECUADORIAN AIRFORCE,Ecuador
FAF,FRENCH AIR FORCE,France
FAG,FUAER,Argentina
FAH,BLUE STRIP,Hungary
FAI,MOTOR-CITY,United States
FAJ,AMANJET,Syria
FAK,FACTS,United States
FAL,FRIENDSHIP,United States
FAM,FAMEX,Mexico
FAN,FANBIRD,Angola
FAO,PANTHER,United States
FAP,FAIR SCHOOL,Czech Republic
FAR,TORRO,Germany
FAS,FLORIDA CARGO,United States
FAT,AIR TAXI,India
FAU,FALCON AIRLINE,Nigeria
FAV,FAIRAVIA,South Africa
FAW,FALWELL,United States
FAX,FAIRFAX,United States
FAY,FAYBAN AIR,Nigeria
FAZ,FLINT AIR,United States
FBA,IRAQ EXPRESS,Iraq
FBC,BLUE CRANE,South Africa
FBE,AFRIBEE,Mauritius
FBG,FLEET BIG,Bulgaria
FBJ,BABY JET,Ghana
FBN,FLORIDA TRANSPORT,United States
FBS,BOSNIA AIR,Bosnia and Herzegovina
FBU,FRENCH BEE,France
FBX,BUSINESS JET,Mexico
FBY,BAI FLY,Spain
FBZ,BONDI,Argentina
FCA,COOPAIR,Hungary
FCB,APOLLO,Cyprus
FCE,FLIGHT CHOICE,United States
FCH,SKY UNION,Tajikistan
FCJ,FRACJET,United States
FCK,NAV CHECKER,Germany
FCL,FLORIDA COASTAL,United States
